Desconto;Quant_Min;Texto108;Texto111;xvencimento;xlista;I_E;D04_cod;D04_Descricao;xgrupo;D04_Tipo;D04_UniPro;D04_Precoven;Texto102;Texto115;Texto117;Texto119;Texto124;marcador;Texto91;Texto129;Texto126;Similar;xlocal;Texto134
;;0;C;35/42;1;Externo;232201;GRISSINI FEITO COM ALECRIM 90G CF;CASA FORTUNATO;GRISSINI ALECRIM - FORT;UN;2,00;0,00;N;;;0,09;232201;2322;2,0000;7898707290083;;P ACAB - 22321;GRISSINI FEITO COM ALECRIM 90G CF
23;0;0;C;35/42;1;Externo;264301;GRISSINI INT. SABOR TOMATE SECO 90G CF;CASA FORTUNATO;GRISSINI ALHO E SALSA - FORT;UN;2,35;0,00;N;;;0;264301;2643;2,3500;7898707290267;;;GRISSINI INT. SABOR TOMATE SECO 90G CF
23;0;;;35/42;1;Externo;258401;GRISSINI INTEGRAL GERGELIM 120G;GRISSINI INTEGRAL;GRISSINI INTEGRAL GERGELIM;UN;8,25;15,00;;;;0,12;258401;2584;8,2500;7896207802584;;P ACAB - 2225;GRISSINI INTEGRAL GERGELIM 120G
23;0;;;35/42;1;Externo;258415;GRISSINI INTEGRAL GERGELIM 120G CX C/15;GRISSINI INTEGRAL;GRISSINI INTEGRAL GERGELIM;CX;123,75;1,00;;;13;1,8;258415;;8,2500;7896207802584;;P ACAB - 2225;GRISSINI INTEGRAL GERGELIM 120G CX C/15
23;0;;;35/42;1;Externo;262101;GRISSINI INTEGRAL PARMESAO 120G;GRISSINI INTEGRAL;GRISSINI INTEGRAL PARMESAO;UN;8,25;0,00;N;;;0,12;262101;2621;8,2500;7896207802621;;P ACAB - 2227;GRISSINI INTEGRAL PARMESAO 120G
23;0;;;35/42;1;Externo;262115;GRISSINI INTEGRAL PARMESAO 120G CX C/15;GRISSINI INTEGRAL;GRISSINI INTEGRAL PARMESAO;CX;123,75;0,00;N;;45;1,8;262115;;8,2500;7896207802621;;P ACAB - 2227;GRISSINI INTEGRAL PARMESAO 120G CX C/15
23;0;;;35/42;1;Externo;257701;GRISSINI INTEGRAL TOMATE SECO 120G;GRISSINI INTEGRAL;GRISSINI INTEGRAL  TOMATE SECO;UN;8,25;0,00;N;;;0,12;257701;2577;8,2500;7896207802577;;P ACAB - 2228;GRISSINI INTEGRAL TOMATE SECO 120G
23;0;;;35/42;1;Externo;257715;GRISSINI INTEGRAL TOMATE SECO 120G CX C/15;GRISSINI INTEGRAL;GRISSINI INTEGRAL  TOMATE SECO;CX;123,75;0,00;N;;6;1,8;257715;;8,2500;7896207802577;;P ACAB - 2228;GRISSINI INTEGRAL TOMATE SECO 120G CX C/15
23;0;;;35/42;1;Externo;255301;GRISSINI MULTIGRAOS 120G;GRISSINI INTEGRAL;GRISSINI INTEGRAL 12 GRAOS;UN;7,36;0,00;N;;;0,12;255301;2553;7,3600;7896207802553;;P ACAB - 2224;GRISSINI MULTIGRAOS 120G
23;0;;;35/42;1;Externo;255315;GRISSINI MULTIGRAOS 120G CX C/15;GRISSINI INTEGRAL;GRISSINI INTEGRAL 12 GRAOS;CX;110,40;0,00;N;;116;1,8;255315;;7,3600;7896207802553;;P ACAB - 2224;GRISSINI MULTIGRAOS 120G CX C/15
23;0;;;35/42;1;Externo;248501;GRISSINI NATURAL 120G;GRISSINI;GRISSINI  NATURAL;UN;7,36;0,00;N;;;0,12;248501;2485;7,3600;7896207802485;;P ACAB - 2206;GRISSINI NATURAL 120G
